4.6;ΗΛΙΑΚΗ ΦΥΣΙΚΗ, ΠΛΑΝΗΤΕΣ ΚΑΙ ΠΛΑΝΗΤΙΚΑ ΣΥΣΤΗΜΑΤΑ ;SOLAR PHYSICS, PLANETS AND PLANETARY SYSTEMS
4.7;ΟΡΓΑΝΑ ΕΡΕΥΝΑΣ ΓΙΑ ΤΗΝ ΑΣΤΡΟΝΟΜΙΑ ΚΑΙ ΤΟ ΔΙΑΣΤΗΜΑ;ASTRONOMICAL AND SPACE-RESEARCH INSTRUMENTATION
4.99;ΑΛΛΕΣ ΑΣΤΡΟΝΟΜΙΚΕΣ ΕΙΔΙΚΟΤΗΤΕΣ;OTHER ASTRONOMICAL SPECIALTIES
5.1;ΓΕΝΙΚΗ ΦΥΣΙΚΗ;GENERAL PHYSICS
5.2;ΦΥΣΙΚΗ ΣΤΟΙΧΕΙΩΔΩΝ ΣΩΜΑΤΙΔΙΩΝ ΚΑΙ ΠΕΔΙΩΝ;THE PHYSICS OF ELEMENTARY PARTICLES AND FIELDS
5.3;ΠΥΡΗΝΙΚΗ ΦΥΣΙΚΗ;NUCLEAR PHYSICS
5.4;ΑΤΟΜΙΚΗ ΚΑΙ ΜΟΡΙΑΚΗ ΦΥΣΙΚΗ;ATOMIC AND MOLECULAR PHYSICS
5.5;ΗΛΕΚΤΡΟΜΑΓΝΗΤΙΣΜΟΣ ;ELECTROMAGNETISM
5.6;ΟΠΤΙΚΗ;OPTICS
5.7;ΑΚΟΥΣΤΙΚΗ;ACOUSTICS
5.8;ΜΗΧΑΝΙΚΗ;MECHANICS
5.9;ΡΕΥΣΤΟΔΥΝΑΜΙΚΗ;FLUID DYNAMICS
5.10;ΦΥΣΙΚΗ ΠΛΑΣΜΑΤΟΣ ;PHYSICS OF PLASMAS
5.11;ΦΥΣΙΚΗ ΣΥΜΠΥΚΝΩΜΕΝΗΣ ΎΛΗΣ ΚΑΙ ΣΤΕΡΕΑΣ KΑΤΑΣΤΑΣΗΣ;CONDENSED MATTER AND SOLID STATE PHYSICS
5.12;ΗΛΕΚΤΡΟΝΙΚΗ ΦΥΣΙΚΗ ΚΑΙ ΣΧΕΤΙΚΕΣ ΕΠΙΣΤΗΜΟΝΙΚΕΣ ΠΕΡΙΟΧΕΣ;ELECTRONIC PHYSICS AND RELATED AREAS OF SCIENCE
5.13;ΔΙΑΘΕΜΑΤΙΚΕΣ ΠΕΡΙΟΧΕΣ ΤΗΣ ΦΥΣΙΚΗΣ;INDERDISCIPLINARY AREAS OF PHYSICS
5.14;ΓΕΩΦΥΣΙΚΗ ΚΑΙ ΦΥΣΙΚΗ ΠΕΡΙΒΑΛΛΟΝΤΟΣ;GEOPHYSICS AND ENVIRONMENTAL PHYSICS
5.99;ΑΛΛΕΣ ΕΙΔΙΚΟΤΗΤΕΣ ΤΗΣ ΦΥΣΙΚΗΣ;OTHER PHYSICAL SCIENCE SPECIALTIES
6.1;ΑΝΑΛΥΤΙΚΗ ΧΗΜΕΙΑ;ANALYTICAL CHEMISTRY
6.2;ΑΝΟΡΓΑΝΗ ΧΗΜΕΙΑ;INORGANIC CHEMISTRY
6.3;ΒΙΟΧΗΜΕΙΑ                       ;BIOCHEMISTRY
6.4;ΧΗΜΕΙΑ ΜΑΚΡΟΜΟΡΙΩΝ; MACROMOLECULAR CHEMISTRY
6.5;ΟΡΓΑΝΙΚΗ ΧΗΜΕΙΑ;ORGANIC CHEMISTRY
6.6;ΠΥΡΗΝΙΚΗ ΧΗΜΕΙΑ;NUCLEAR CHEMISTRY
6.7;ΚΛΙΝΙΚΗ ΧΗΜΕΙΑ;CLINICAL CHEMISTRY
6.8;XHMEIA ΠΕΡΙΒΑΛΛΟΝΤΟΣ;ENVIRONMENTAL CHEMISTRY
6.9;ΔΙΔΑΚΤΙΚΗ ΤΗΣ ΧΗΜΕΙΑΣ;DIDACTICS OF CHEMISTRY
6.10;ΧΗΜΕΙΑ ΤΡΟΦΙΜΩΝ;FOOD CHEMISTRY
6.11;ΦΥΣΙΚΟΧΗΜΕIA;PHYSICAL CHEMISTRY
6.12;ΡΑΔΙΟΧΗΜΕIA;RADIOCHEMISTRY
6.99;ΑΛΛΕΣ ΕΙΔΙΚΟΤΗΤΕΣ ΤΗΣ ΧΗΜΕΙΑΣ;ΟTHER CHEMICAL SCIENCE SPECIALTIES
7.1;ΦΥΣΙΚΗ ΑΝΘΡΩΠΟΛΟΓΙΑ;PHYSICAL ANTHROPOLOGY
7.2;ΒΙΟΜΑΘΗΜΑΤΙΚΑ/ΜΑΘΗΜΑΤΙΚΗ ΒΙΟΛΟΓΙΑ;BIOMATHEMATICS
7.3;ΒΙΟΕΠΙΣΤΗΜΕΣ;BIOSCIENCES
7.4;ΒΙΟΛΟΓΙΑ ΚΥΤΤΑΡΟΥ/ΚΥΤΤΑΡΙΚΗ ΒΙΟΛΟΓΙΑ;CELL BIOLOGY
7.5;ΓΕΝΕΤΙΚΗ;GENETICS
7.6;ΦΥΣΙΟΛΟΓΙΑ ΤΟΥ ΑΝΘΡΩΠΟΥ;HUMAN PHYSIOLOGY
7.7;ΑΝΟΣΟΛΟΓΙΑ;IMMUNOLOGY
7.8;ΜΙΚΡΟΒΙΟΛΟΓΙΑ;MICROBIOLOGY
7.9;ΜΟΡΙΑΚΗ ΒΙΟΛΟΓΙΑ;MOLECULAR BIOLOGY
7.10;ΡΑΔΙΟΒΙΟΛΟΓΙΑ;RADIOBIOLOGY
7.11;ΙΟΛΟΓΙΑ;VIROLOGY
7.12;ΘΑΛΑΣΣΙΑ ΒΙΟΛΟΓΙΑ;AQUATIC/MARINE BIOLOGY
7.13;ΒΟΤΑΝΙΚΗ/ΒΙΟΛΟΓΙΑ ΦΥΤΩΝ ;BOTANY/PLANT BIOLOGY
7.14;ΖΩΟΛΟΓΙΑ/ΒΙΟΛΟΓΙΑ ΤΩΝ ΖΩΩΝ;ZOOLOGY/ANIMAL BIOLOGY
7.15;ΕΝΤΟΜΟΛΟΓΙΑ;ENTOMOLOGY/INSECT BIOLOGY
7.16;ΑΘΛΗΤΙΚΗ ΕΠΙΣΤΗΜΗ/ΕΠΙΣΤΗΜΗ ΦΥΣΙΚΗΣ ΑΓΩΓΗΣ ΚΑΙ ΑΘΛΗΤΙΣΜΟΥ;SPORT AND ATHLETIC SCIENCE/PHYSICAL EDUCATION AND SPORT SCIENCE
7.17;ΟΙΚΟΛΟΓΙΑ ;ECOLOGY
7.18;ΑΝΑΠΤΥΞΙΑΚΗ ΒΙΟΛΟΓΙΑ;DEVELOPMENTAL BIOLOGY
7.19;ΑΛΙΕΙΑ;FISHERIES
7.20;ΒΙΟΛΟΓΙΚΗ ΩΚΕΑΝΟΓΡΑΦΙΑ;BIOLOGICAL OCEANOGRAPHY
7.21;ΒΙΟΤΕΧΝΟΛΟΓΙΑ;BIOTECHNOLOGY
7.22;ΒΙΟΧΗΜΕΙΑ;BIOCHEMISTRY
7.23;ΔΟΜΙΚΗ ΒΙΟΛΟΓΙΑ;STRUCTURAL BIOLOGY
7.24;ΕΞΕΛΙΚΤΙΚΗ ΒΙΟΛΟΓΙΑ;EVOLUTIONARY BIOLOGY
7.25;ΘΑΛΑΣΣΙΑ ΟΙΚΟΛΟΓΙΑ;MARINE ECOLOGY
7.26;ΙΧΘΥΟΛΟΓΙΑ;ICHTHYOLOGY
7.27;ΜΟΡΦΟΛΟΓΙΑ/ΑΝΑΤΟΜΙΑ ΦΥΤΩΝ;PLANT MORPHOLOGY / ANATOMY
7.28;ΝΕΥΡΟΒΙΟΛΟΓΙΑ/ ΝΕΥΡΟΕΠΙΣΤΗΜΕΣ;NEUROBIOLOGY / NEUROSCIENCES
7.29;ΣΥΜΠΕΡΙΦΟΡΙΚΗ ΒΙΟΛΟΓΙΑ;BEHAVIOURAL BIOLOGY
7.30;ΣΥΣΤΗΜΙΚΗ/ ΦΥΛΟΓΕΝΕΣΗ;SYSTEMATICS / PHYLOGENY
7.31;ΣΥΣΤΗΜΑΤΙΚΗ ΒΟΤΑΝΙΚΗ / ΒΙΟΓΕΩΓΡΑΦΙΑ;SYSTEMATIC BOTANY / BIOGEOGRAPHY
7.32;ΥΔΑΤΟΚΑΛΛΙΕΡΓΕΙΕΣ;AQUACULTURE
7.33;ΦΥΣΙΟΛΟΓΙΑ;PHYSIOLOGY
7.34;ΦΥΣΙΟΛΟΓΙΑ ΖΩΩΝ;ANIMAL PHYSIOLOGY
7.35;ΦΥΣΙΟΛΟΓΙΑ ΦΥΤΩΝ;PLANT PHYSIOLOGY
7.99;ΑΛΛΕΣ ΕΙΔΙΚΟΤΗΤΕΣ ΕΠΙΣΤΗΜΩΝ ΖΩΗΣ;OTHER LIFE SCIENCE SPECIALTIES
8.1;ΓΕΩΓΡΑΦΙΑ;GEOGRAPHY
8.2;ΓΕΝΙΚΗ ΓΕΩΛΟΓΙΑ;GENERAL GEOLOGY
8.3;ΥΛΙΚΑ ΤΗΣ ΓΗΣ;EARTH MATERIALS
8.4;ΤΕΚΤΟΝΙΚΗ ΓΕΩΛΟΓΙΑ;ΤECTONIC GEOLOGY
8.5;ΠΑΛΑΙΟΝΤΟΛΟΓΙΑ;PALAEONTOLOGY
8.6;ΓΕΩΦΥΣΙΚΗ                            ;GEOPHYSICS
8.7;ΓΕΩΧΗΜΕΙΑ;GEOCHEMISTRY
8.8;ΥΔΡΟ(ΓΕΩ)ΛΟΓΙΑ;HYDRO(GEO)LOGY
8.9;ΤΕΧΝΙΚΗ ΓΕΩΛΟΓΙΑ;ENGINEERING GEOLOGY
8.10;ΩΚΕΑΝΟΓΡΑΦΙΑ;OCEANOGRAPHY
8.11;ΚΛΙΜΑΤΟΛΟΓΙΑ;CLIMATOLOGY
8.12;ΜΕΤΕΩΡΟΛΟΓΙΑ                           ;METEOROLOGY
8.99;ΑΛΛΕΣ ΕΠΙΣΤΗΜΕΣ ΤΗΣ  ΓΗΣ ΚΑΙ ΤΟΥ ΔΙΑΣΤΗΜΑΤΟΣ;OTHER EARTH AND SPACE SCIENCE SPECIALTIES
9.1;ΕΔΑΦΟΛΟΓΙΑ;SOIL SCIENCE
9.2;ΓΕΩΡΓΙΚΗ ΧΗΜΕΙΑ;AGRICULTURAL CHEMISTRY/CHEMURGY
9.3;ΓΕΩΡΓΙΚΗ ΜΗΧΑΝΙΚΗ            ;AGRICULTURAL ENGINEERING
9.4;ΕΠΙΣΤΗΜΗ ΦΥΤΙΚΗΣ ΠΑΡΑΓΩΓΗΣ;CROP (PRODUCTION) SCIENCE
9.5;ΦΥΤΟΠΑΘΟΛΟΓΙΑ         ;PLANT PATHOLOGY/PLANT DISEASES
9.6;KTHNIATΡΙΚΗ ΕΠΙΣΤΗΜΗ;VETERINARY MEDICINE
9.7;ΕΠΙΣΤΗΜΗ ΖΩΪΚΗΣ ΠΑΡΑΓΩΓΗΣ;ANIMAL PRODUCTION (SCIENCE)
9.8;ΙΧΘΥΟΛΟΓΙΑ;ICHTHYOLOGY
9.9;ΑΓΡΟΤΙΚΗ ΟΙΚΟΝΟΜΙΑ & ΑΝΑΠΤΥΞΗ;AGRICULTURAL ECONOMICS & RURAL DEVELOPMENT
9.10;ΔΑΣΟΠΟΝΙΑ;FORESTRY
9.11;ΔΙΑΧΕΙΡΙΣΗ/ΔΙΕΥΘΕΤΗΣΗ ΟΡΕΙΝΩΝ ΥΔΑΤΩΝ;MOUNTAINOUS WATER MANAGEMENT
9.12;ΛΙΒΑΔΟΠΟΝΙΑ    ;PASTURE
9.13;ΓΕΩΡΓΙΚΗ ΦΑΡΜΑΚΟΛΟΓΙΑ;PESTICIDE SCIENCE
9.99;ΑΛΛΕΣ ΓΕΩΠΟΝΙΚΕΣ ΕΙΔΙΚΟΤΗΤΕΣ;ΟTHER AGRICULTURAL SPECIALTIES
10.1;ΚΛΙΝΙΚΗ ΙΑΤΡΙΚΗ;CLINICAL MEDICINE
10.2;ΕΠΙΔΗΜΙΟΛΟΓΙΑ;EPIDEMIOLOGY
10.3;ΕΡΓΑΣΙΑΚΗ ΙΑΤΡΙΚΗ;OCCUPATIONAL MEDICINE
10.4;ΠΥΡΗΝΙΚΗ ΙΑΤΡΙΚΗ ;NUCLEAR MEDICINE
10.5;ΕΣΩΤΕΡΙΚΗ (ΜΗ ΧΕΙΡΟΥΡΓΙΚΗ) ΙΑΤΡΙΚΗ;INTERNAL MEDΙCINE
10.6;ΔΙΑΙΤΗΤΙΚΗ (ΔΙΑΙΤΟΛΟΓΙΑ);NUTRITION SCIENCES
10.7;ΠΑΘΟΛΟΓΙΑ;PATHOLOGY
10.8;ΦΑΡΜΑΚΕΥΤΙΚΗ;PHARMACY
10.9;ΦΑΡΜAΚΟΛΟΓΙΑ;PHARMACOLOGY
10.10;ΠΡΟΛΗΠΤΙΚΗ ΙΑΤΡΙΚΗ;PREVENTIVE MEDICINE
10.11;ΨΥΧΙΑΤΡΙΚΗ;PSYCHIATRY
10.12;ΔΗΜΟΣΙΑ ΥΓΕΙΑ;PUBLIC HEALTH
10.13;ΧΕΙΡΟΥΡΓΙΚΗ                        ;SURGERY
10.14;ΤΟΞΙΚΟΛΟΓΙΑ ;TOXICOLOGY
10.15;ΟΔΟΝΤΙΑΤΡΙΚΗ                            ;DENTISTRY
10.16;ΕΠΙΣΤΗΜΕΣ ΥΓΕΙΑΣ ΚΑΙ ΠΡΟΝΟΙΑΣ;HEALTH AND MEDICAL CARE SCIENCES
10.17;ΚΛΙΝΙΚΗ ΦΑΡΜΑΚΟΛΟΓΙΑ - ΤΟΞΙΚΟΛΟΓΙΑ;CLINICAL PHARMACOLOGY - TOXICOLOGY
10.99;ΑΛΛΕΣ ΙΑΤΡΙΚΕΣ ΕΙΔΙΚΟΤΗΤΕΣ;OTHER MEDICAL SPECIALTIES
